,date,state,cases,deaths
22445,2020-03-31,Iowa,6,0
22446,2020-03-31,Iowa,73,0
22447,2020-03-31,Iowa,4,0
22448,2020-03-31,Iowa,2,0
22449,2020-03-31,Iowa,1,0
22450,2020-03-31,Iowa,90,2
22451,2020-03-31,Iowa,2,0
22452,2020-03-31,Iowa,8,0
22453,2020-03-31,Iowa,5,0
22454,2020-03-31,Iowa,1,0
22455,2020-03-31,Iowa,16,1
22456,2020-03-31,Iowa,2,0
22457,2020-03-31,Iowa,76,0
22458,2020-03-31,Iowa,5,0
22459,2020-03-31,Iowa,5,1
22460,2020-03-31,Iowa,18,0
22461,2020-03-31,Iowa,3,0
22462,2020-03-31,Iowa,4,0
22463,2020-03-31,Iowa,2,0
22464,2020-03-31,Iowa,11,0
22465,2020-03-31,Iowa,1,0
22466,2020-03-31,Iowa,1,0
22467,2020-03-31,Iowa,1,0
22468,2020-03-31,Iowa,3,0
22469,2020-03-31,Iowa,24,1
22470,2020-03-31,Iowa,1,0
22471,2020-03-31,Iowa,3,0
22472,2020-03-31,Iowa,4,0
22473,2020-03-31,Iowa,1,0
22474,2020-03-31,Kansas,1,0
22475,2020-03-31,Kansas,1,0
22476,2020-03-31,Kansas,3,0
22477,2020-03-31,Kansas,3,0
22478,2020-03-31,Kansas,1,0
22479,2020-03-31,Kansas,3,0
22480,2020-03-31,Kansas,1,0
22481,2020-03-31,Kansas,14,0
22482,2020-03-31,Kansas,5,1
22483,2020-03-31,Kansas,1,0
22484,2020-03-31,Kansas,24,0
22485,2020-03-31,Kansas,1,0
22486,2020-03-31,Kansas,1,0
22487,2020-03-31,Kansas,7,0
22488,2020-03-31,Kansas,1,0
22489,2020-03-31,Kansas,1,0
22490,2020-03-31,Kansas,1,0
22491,2020-03-31,Kansas,1,0
22492,2020-03-31,Kansas,134,3
22493,2020-03-31,Kansas,1,0
22494,2020-03-31,Kansas,24,0
22495,2020-03-31,Kansas,5,0
22496,2020-03-31,Kansas,10,0
22497,2020-03-31,Kansas,3,0
22498,2020-03-31,Kansas,1,0
22499,2020-03-31,Kansas,3,0
22500,2020-03-31,Kansas,5,0
22501,2020-03-31,Kansas,2,0
22502,2020-03-31,Kansas,1,0
22503,2020-03-31,Kansas,3,0
22504,2020-03-31,Kansas,1,0
22505,2020-03-31,Kansas,2,0
22506,2020-03-31,Kansas,7,0
22507,2020-03-31,Kansas,2,0
22508,2020-03-31,Kansas,1,0
22509,2020-03-31,Kansas,58,1
22510,2020-03-31,Kansas,17,1
22511,2020-03-31,Kansas,1,0
22512,2020-03-31,Kansas,2,0
22513,2020-03-31,Kansas,1,0
22514,2020-03-31,Kansas,2,0
22515,2020-03-31,Kansas,79,4
22516,2020-03-31,Kentucky,1,0
